TS代码,交易日期,昨收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌额(元),涨跌幅(%),成交量(手),成交额(千元)
510050.SH,20121231,1.814,1.819,1.855,1.819,1.854,0.04,2.2051,3663139.07,674232.226
510050.SH,20121228,1.786,1.785,1.817,1.784,1.814,0.028,1.5677,3613363.61,651120.804
510050.SH,20121227,1.799,1.809,1.814,1.785,1.786,-0.013,-0.7226,3549448.37,636937.685
510050.SH,20121226,1.793,1.793,1.804,1.791,1.799,0.006,0.3346,3010511.93,541134.731
510050.SH,20121225,1.747,1.738,1.807,1.734,1.793,0.046,2.6331,5890460.46,1048865.376
510050.SH,20121224,1.735,1.733,1.758,1.732,1.747,0.012,0.6916,2991594.49,522572.241
510050.SH,20121221,1.748,1.751,1.768,1.734,1.735,-0.013,-0.7437,3270796.99,570587.876
510050.SH,20121220,1.74,1.735,1.755,1.725,1.748,0.008,0.4598,3477058.68,604703.922
510050.SH,20121219,1.741,1.738,1.755,1.735,1.74,-0.001,-0.0574,3203018.08,558310.705
510050.SH,20121218,1.736,1.732,1.765,1.726,1.741,0.005,0.288,4900370.71,856586.108
510050.SH,20121217,1.725,1.729,1.747,1.729,1.736,0.011,0.6377,5182749.79,901313.596
510050.SH,20121214,1.638,1.638,1.728,1.638,1.725,0.087,5.3114,6508684.32,1101091.459
510050.SH,20121213,1.657,1.65,1.652,1.637,1.638,-0.019,-1.1467,2686652.02,441526.371
510050.SH,20121212,1.644,1.646,1.657,1.641,1.657,0.013,0.7908,2996277.13,494127.201
510050.SH,20121211,1.65,1.644,1.656,1.641,1.644,-0.006,-0.3636,1849545.94,304921.329
510050.SH,20121210,1.633,1.637,1.657,1.637,1.65,0.017,1.041,5495281.45,905874.808
510050.SH,20121207,1.599,1.6,1.637,1.598,1.633,0.034,2.1263,4275733.29,693400.013
510050.SH,20121206,1.599,1.6,1.606,1.591,1.599,0.0,0.0,2715224.03,434044.482
510050.SH,20121205,1.547,1.545,1.606,1.543,1.599,0.052,3.3613,4673376.38,741365.283
510050.SH,20121204,1.533,1.53,1.548,1.528,1.547,0.014,0.9132,2105376.28,323900.671
510050.SH,20121203,1.544,1.543,1.555,1.531,1.533,-0.011,-0.7124,1472994.02,227157.251
510050.SH,20121130,1.536,1.535,1.546,1.53,1.544,0.008,0.5208,1854801.12,285423.322
510050.SH,20121129,1.542,1.543,1.548,1.535,1.536,-0.006,-0.3891,1516976.38,233767.986
510050.SH,20121128,1.553,1.548,1.549,1.539,1.542,-0.011,-0.7083,1798135.03,277533.803
510050.SH,20121127,1.562,1.557,1.562,1.551,1.553,-0.009,-0.5762,1138233.17,177233.508
510050.SH,20121126,1.566,1.565,1.568,1.556,1.562,-0.004,-0.2554,1456291.19,227508.144
510050.SH,20121123,1.556,1.56,1.574,1.554,1.566,0.01,0.6427,2320904.82,363375.406
510050.SH,20121122,1.561,1.552,1.557,1.545,1.556,-0.005,-0.3203,2040361.93,316691.073
510050.SH,20121121,1.54,1.541,1.562,1.535,1.561,0.021,1.3636,2405158.88,372450.938
510050.SH,20121120,1.548,1.553,1.555,1.539,1.54,-0.008,-0.5168,1374191.77,212493.775
510050.SH,20121119,1.55,1.55,1.55,1.533,1.548,-0.002,-0.129,1904986.15,293903.366
510050.SH,20121116,1.564,1.562,1.562,1.544,1.55,-0.014,-0.8951,1620632.94,251358.747
510050.SH,20121115,1.583,1.576,1.579,1.563,1.564,-0.019,-1.2003,1469875.76,231124.484
510050.SH,20121114,1.577,1.576,1.588,1.57,1.583,0.006,0.3805,3691503.06,582713.475
510050.SH,20121113,1.599,1.602,1.602,1.573,1.577,-0.022,-1.3759,1677281.75,265287.832
510050.SH,20121112,1.627,1.631,1.637,1.624,1.636,0.009,0.5532,1198795.06,195629.212
510050.SH,20121109,1.629,1.624,1.635,1.624,1.627,-0.002,-0.1228,1200185.92,195496.013
510050.SH,20121108,1.655,1.643,1.646,1.628,1.629,-0.026,-1.571,1634462.54,267772.562
510050.SH,20121107,1.655,1.651,1.664,1.645,1.655,0.0,0.0,1426563.68,235999.852
510050.SH,20121106,1.66,1.661,1.664,1.633,1.655,-0.005,-0.3012,1558784.16,256571.527
510050.SH,20121105,1.664,1.66,1.673,1.653,1.66,-0.004,-0.2404,1486052.99,246893.384
510050.SH,20121102,1.655,1.655,1.666,1.646,1.664,0.009,0.5438,2150896.47,356657.512
510050.SH,20121101,1.625,1.626,1.664,1.626,1.655,0.03,1.8462,2080361.95,343240.557
510050.SH,20121031,1.611,1.614,1.626,1.609,1.625,0.014,0.869,1451923.61,234956.447
510050.SH,20121030,1.607,1.609,1.624,1.604,1.611,0.004,0.2489,1716732.89,276726.091
510050.SH,20121029,1.619,1.617,1.62,1.602,1.607,-0.012,-0.7412,1497583.68,241478.914
510050.SH,20121026,1.651,1.653,1.654,1.613,1.619,-0.032,-1.9382,2124757.46,345974.179
510050.SH,20121025,1.663,1.664,1.67,1.649,1.651,-0.012,-0.7216,1890137.85,313579.046
510050.SH,20121024,1.666,1.66,1.671,1.659,1.663,-0.003,-0.1801,1753995.99,291857.554
510050.SH,20121023,1.683,1.682,1.684,1.664,1.666,-0.017,-1.0101,1753488.77,293225.208
510050.SH,20121022,1.677,1.673,1.689,1.665,1.683,0.006,0.3578,2176980.73,364489.21
510050.SH,20121019,1.678,1.676,1.682,1.674,1.677,-0.001,-0.0596,2242289.19,376383.973
510050.SH,20121018,1.656,1.66,1.682,1.657,1.678,0.022,1.3285,4091804.87,683172.57
510050.SH,20121017,1.651,1.659,1.663,1.643,1.656,0.005,0.3028,2076807.5,343755.696
